,index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
682,682,1996.0,Children of the Mind,Orson Scott Card,eng,Intermediate,3.74,74517.0,genre fiction,1022.21,613.326,8.59,784.0,"Amazon Digital Services,  Inc.",36936.0
683,683,1922.0,Ulysses,James Joyce,eng,Intermediate,3.74,76791.0,,117.81,0.0,0.99,786.0,"Amazon Digital Services,  Inc.",36936.0
684,684,1998.0,Someone Like You,Sarah Dessen,eng,Intermediate,3.94,84358.0,nonfiction,355.81,213.486,2.99,,Simon and Schuster Digital Sales Inc,36936.0
685,685,2003.0,Moloka'i,Alan Brennert,en-US,Excellent,4.15,75307.0,nonfiction,950.81,570.486,7.99,787.0,HarperCollins Christian Publishing,36720.0
686,686,1990.0,The Witching Hour,Anne Rice,eng,Excellent,4.1,79824.0,nonfiction,357.54,214.524,3.03,789.0,"Amazon Digital Services,  Inc.",36504.0
687,687,1986.0,This Present Darkness,Frank E. Peretti,eng,Excellent,4.24,71815.0,genre fiction,352.82,0.0,2.99,791.0,"Amazon Digital Services,  Inc.",36504.0
688,688,2012.0,The Coincidence of Callie & Kayden,Jessica Sorensen,eng,Excellent,4.21,97615.0,genre fiction,116.82,70.092,0.99,792.0,"Amazon Digital Services,  Inc.",36504.0
689,689,2015.0,Fates and Furies,Lauren Groff,eng,Intermediate,3.56,66085.0,genre fiction,862.58,517.548,7.31,792.0,HarperCollins Publishers,36504.0
690,690,1998.0,Summer Sisters,Judy Blume,,Intermediate,3.83,73515.0,genre fiction,862.58,517.548,7.31,794.0,Penguin Group (USA) LLC,36504.0
691,691,1945.0,Stuart Little,"E.B. White, Garth Williams",en-US,Intermediate,3.88,89033.0,genre fiction,352.82,211.692,2.99,797.0,"Amazon Digital Services,  Inc.",36504.0
692,692,1953.0,The Foundation Trilogy,Isaac Asimov,eng,Excellent,4.39,72311.0,fiction,1060.82,636.492,8.99,797.0,HarperCollins Publishers,36504.0
